"nflId","height","weight","birthDate","collegeName","Position","displayName"
42901,"6-1",208,"1992-07-25","James Madison","SS","Dean Marlowe"
43501,"6-0",220,"1994-08-11","Central Michigan","FS","Kavon Frazier"
43534,"6-0",205,"1993-06-02","Illinois","SS","Clayton Fejedelem"
43535,"6-1",235,"1992-12-22","Temple","MLB","Tyler Matakevich"
44174,"6-1",236,"1993-02-22","Texas Tech","ILB","Sam Eguavoen"
44931,"6-4",221,"1993-09-16","North Carolina","WR","Mack Hollins"
44985,"5-8",173,"1995-04-09","Georgia","WR","Isaiah McKenzie"
45369,"6-4",210,"1995-08-14","Hawaii","WR","Marcus Kemp"
45608,"5-10",180,"1994-10-23","Iowa State","CB","Jamal Perry"
46223,"6-0",205,"1994-08-04","Jacksonville State","CB","Siran Neal"
46298,"5-11",186,"1995-11-16","New Mexico","K","Jason Sanders"
46303,"6-0",240,"1997-04-20","North Carolina","ILB","Andre Smith"
46969,"5-10",198,"1994-12-05","Kent State","DB","Nate Holley"
47934,"6-4",242,"1995-07-01","Wisconsin","OLB","Andrew Van Ginkel"
47964,"5-10",190,"1995-11-13","Miami","FS","Jaquan Johnson"
48008,"6-6",253,"1997-04-04","North Carolina A&amp;T","DE","Darryl Johnson"
48449,"6-5",264,"1996-03-24","Miami, O.","TE","Nate Becker"
48482,"6-0",237,"1998-06-25","Texas A&amp;M","MLB","Tyrel Dodson"
52438,"5-11",196,"1999-11-27","Auburn","CB","Noah Igbinoghene"
52462,"6-5",280,"1998-09-15","Iowa","DE","A.J. Epenesa"
52478,"6-0",205,"1998-04-02","Texas","FS","Brandon Jones"
52536,"6-3",213,"1999-03-01","Central Florida","WR","Gabriel Davis"
40096,"6-1",240,"1991-07-30","Iowa State","OLB","A.J. Klein"
42924,"6-6",325,"1991-09-15","Idaho","T","Jesse Davis"
43319,"6-4",330,"1994-06-14","Louisiana Tech","DT","Vernon Butler"
43436,"6-4",291,"1993-03-31","Maryland","DT","Quinton Jefferson"
43510,"6-4",305,"1993-03-15","Illinois","C","Ted Karras"
44943,"6-7",325,"1995-01-09","Bucknell","T","Julien Davenport"
45296,"6-0",205,"1994-07-25","Arizona State","P","Matt Haack"
46085,"6-5",250,"1998-05-02","Virginia Tech","MLB","Tremaine Edmunds"
46192,"6-6",260,"1995-08-09","Notre Dame","TE","Durham Smythe"
46698,"6-0",179,"1995-06-12","Alabama","CB","Levi Wallace"
47796,"6-4",315,"1995-12-20","Clemson","DE","Christian Wilkins"
47861,"6-6",310,"1996-09-03","Wisconsin","C","Michael Deiter"
52426,"6-6",310,"1999-08-11","Southern California","T","Austin Jackson"
52447,"6-5",322,"1996-08-25","Louisiana-Lafayette","T","Robert Hunt"
52593,"6-3",235,"1997-04-21","Louisiana State","LS","Blake Ferguson"
52647,"5-11",185,"1996-11-29","Pittsburgh","CB","Dane Jackson"
43308,"6-3",267,"1994-06-17","Clemson","OLB","Shaq Lawson"
43321,"6-4",275,"1993-11-06","Oklahoma State","DE","Emmanuel Ogbah"
43617,"6-2",235,"1994-03-24","Louisiana State","LS","Reid Ferguson"
46307,"6-6",290,"1995-09-07","Ferris State","DE","Zach Sieler"
46903,"6-0",208,"1996-09-13","New Mexico","P","Corey Bojorquez"
52654,"5-9",190,"1997-04-19","Navy","RB","Malcolm Perry"
38673,"6-0",200,"1987-12-15","Coastal Carolina","CB","Josh Norman"
40166,"6-0",191,"1991-04-25","Oregon State","SS","Jordan Poyer"
